0.005,124.2
0.01,83.1
0.015,77.5
0.02,79.9
0.025,90.0
0.03,74.9
0.035,80.3
0.04,86.2
0.045,77.8
0.05,73.3
0.055,74.8
0.06,79.4
0.065,74.1
0.07,76.9
0.075,92.9
0.08,87.2
0.085,77.4
0.09,75.7
0.095,73.2
0.1,73.5
0.105,75.3
0.11,75.0
0.115,76.1
0.12,79.3
0.125,82.6
0.13,76.1
0.135,75.9
0.14,75.5
0.145,77.6
0.15,76.5
0.155,75.9
0.16,76.2
0.165,75.6
0.17,76.9
0.175,76.0
0.18,76.7
0.185,76.0
0.19,75.1
0.195,76.3
0.2,75.2
0.205,75.5
0.21,78.2
0.215,78.4
0.22,80.0
0.225,75.9
0.23,75.4
0.235,75.9
0.24,72.4
0.245,75.9
0.25,103.5
